Chemical Name,SMILES
sodium hydrosulfite,[Na][O]S(=O)S(=O)[O][Na]
sodium hypochlorite,[Na][O]Cl
sodium methylate,C[O][Na]
sodium phosphide,P([Na])([Na])[Na]
sodium sulfide,[Na]S[Na]
stannic phosphide,P#[Sn]
stearic acid,CCCCCCCCCCCCCCCCCC(=O)O
strontium,[Sr]
strontium azide,[N-]=[N+]=[N][Sr][N]=[N+]=[N-]
styrene oxide,C1C(O1)C2=CC=CC=C2
sulfur,[S]
sulfur trioxide,O=S(=O)=O
sulfuryl chloride,O=S(=O)(Cl)Cl
tetrabromosilane,[Si](Br)(Br)(Br)Br
tetramethyl silane,C[Si](C)(C)C
thiophosphoryl fluoride,FP(=S)(F)F
thorium,[Th]
thorium hydride,[Th+4]
tin,[Sn]
tin tetrachloride,Cl[Sn](Cl)(Cl)Cl
titanium boride,B1=[Ti]=B1
titanium dichloride,Cl[Ti]Cl
titanium diiodide,[Ti](I)I
titanium monoxide,O=[Ti]
titanium trichloride,Cl[Ti](Cl)Cl
tribromosilane,[Si](Br)(Br)Br
tributyl phosphine,CCCCP(CCCC)CCCC
trichlorosilane,[SiH](Cl)(Cl)Cl
tridecanal,CCCCCCCCCCCCC=O
tridecyl aldehyde,CCCCCCCCCCCCC=O
triethyl aluminum,CC[Al](CC)CC
trimethyl aluminum,C[Al](C)C
trimethyl bismuth,C[Bi](C)C
trimethyl borine,B(C)(C)C
trimethyl chlorosilane,C[Si](C)(C)Cl
trimethyl phosphine,CP(C)C
trimethyl thallium,C[Tl](C)C
trimethylbismuthine,C[Bi](C)C
tripropylaluminum,CCC[Al](CCC)CCC
trisilylamine,N([SiH3])([SiH3])[SiH3]
tritium,[HH]
tungsten,[W]
uranium,[U]
uranium carbide,C[U]
uranium hydride,[UH6]
uranium monocarbide,[U]C
uranium nitride,N#[U]
uranium oxide,O=[U](=O)=O
vanadium sesquioxide,O=[V]O[V]=O
vinyl trichlorosilane,C=C[Si](Cl)(Cl)Cl
zinc,[Zn]
zinc dimethyl,[CH3][Zn][CH3]
zirconium,[Zr]
